ID	GSM1243183	GSM1243184	GSM1243185	GSM1243186	GSM1243187	GSM1243188
A_23_P146146	6.02421623742082	6.18817670599853	5.95806931953408	5.67478076296963	6.05889368905357	5.60733031374961
A_23_P42935	9.15156700771733	9.2520384032961	9.16620090906904	9.25429693356262	9.13956342370149	8.82800705691366
A_23_P117082	13.2394351511395	13.4651872935719	13.4835683150707	13.1596133080994	13.3235261546758	13.3621958614382
A_23_P2683	10.0836877697637	10.2579614711473	10.0776786771023	10.1153147633892	10.1393976605445	9.57042465418266
A_24_P358131	12.9424686873149	13.4945847829811	13.2839685414133	11.6206589526813	13.2837636139963	13.0832438452144
A_33_P3367647	6.63178335747415	6.46624644019361	6.38945208908437	6.78026634853039	6.74819284958946	5.75711216727798
A_23_P157316	8.32117649547422	8.27262978497637	7.89734128160203	7.43601743818306	7.92975155341733	6.72109918870718
A_32_P14850	14.2691522534398	13.7706896993374	13.6332601514349	13.1941348248184	13.6497613916377	13.588587769645
A_23_P158596	10.4419067045422	10.3469753512673	10.2393499044633	9.46301341344969	9.9080172610628	9.27301849440642
A_23_P350107	11.780300528732	11.6580812831722	11.5734499552018	11.1528393746301	11.2478780781448	11.2126990251326
A_23_P388190	10.3340870229558	10.3438334315404	10.0647988909165	9.89058095613665	9.82892982765149	9.24198314969433
A_23_P106544	13.2433784580188	13.2970248987297	13.3928040499249	13.3609944906341	13.3613308823166	13.351573053482
A_33_P3219745	6.30073387261824	6.32192809488736	6.16992500144231	5.88060390408824	6.06788247228082	5.46352437327118
A_32_P85539	9.72351874392286	9.83789069522311	9.74083482614526	9.48289196866676	9.55210868768029	8.70433597118232
A_23_P94998	10.7523109494568	10.6966053585304	10.5932354838638	10.4208374627888	10.2538474849874	9.90111830193081
A_33_P3235677	5.93467375212206	6.32192809488736	5.99057674611337	5.7987417917529	5.69116190455308	5.63178335747415
A_23_P417014	6.6724253419715	6.78245225052567	6.32343012005259	6.10503547069829	6.50514991894313	5.64024493622235
A_23_P103905	12.5916988889467	12.6190359014302	12.6854008015796	12.4262926367014	12.5861087222005	12.5665635113183
A_24_P497186	9.91960823860325	10.1864237975389	10.0275604822488	9.72408746179399	9.89368073839091	9.1331422124006
A_23_P118536	8.75371616884744	8.894281749162	8.75885990452392	8.78775064506232	8.90693822473177	8.08099083542976
A_23_P434289	8.60238957247934	8.51438530968204	8.30530177629995	8.23840473932508	8.30871823766975	7.10678101845012
A_33_P3326898	8.64970526547141	8.67948009950545	8.08037341646402	8.4890116639456	8.3582848951804	7.25187685902756
A_24_P67898	10.3949985145017	10.2468395453771	10.1954234749723	10.0586682503406	10.0236388591601	9.32773975192676
A_24_P28657	9.94446805342499	9.95049514559826	9.84784035563071	9.75091629997807	9.71496096277917	8.81431542378781
A_33_P3344292	8.1931146288142	8.40016787274574	8.12023787734196	8.0480326964218	8.23840473932508	6.93859945533586
A_33_P3317618	6.6724253419715	6.6305704990245	6.49051664876686	6.17990909001493	6.84862294042934	5.72565028093837
A_23_P2873	11.489618027226	11.4004347502013	11.1560830762887	11.2686394632315	11.2246549207752	11.1528657756154
A_23_P171095	7.35974956032233	7.38945208908437	6.88671271367089	6.8968369309446	6.84862294042934	6.05889368905357
A_33_P3223631	10.908079827797	10.864702037755	10.7970535206298	10.9001749734775	10.8100360137805	10.0577097426084
A_23_P213014	9.18786752393337	8.92703716872029	8.65105169117893	8.83051520697684	8.77423798441248	7.4898479604393
A_23_P256455	13.9192978681352	13.871135184243	14.0894532398234	13.624338545313	13.7599748477084	13.8653949787378
A_33_P3217009	8.90701582411785	8.86470203775504	8.46147944728616	8.79211243165603	8.56763924329804	7.22641219278879
A_23_P112846	7.40278712590138	7.49356471920712	7.12346621146653	7.20787878582521	7.30999871265464	7.11030024987449
A_24_P99639	6.88162383699809	6.76708092507428	6.45806478287339	6.32343012005259	6.75933340719466	5.72565028093837
A_23_P31135	12.4880283957044	12.6070509186672	12.5159153888065	12.380573799419	12.3115118192516	12.5128021784171
A_23_P105705	6.73613178692008	6.98642141487768	7.11997307156549	7.02289119053825	6.87917984996721	7.26743258373538
A_33_P3346083	6.95128471496697	7.08657856599073	6.5104345220714	6.68883309849311	6.92876509523128	5.8621207254885
A_23_P332509	11.2204539069729	11.1311871048849	10.9715136172391	11.0920138029691	10.919980595049	10.6470461261326
A_33_P3378777	6.38514338989102	6.57490883605723	6.14125565861104	6.23999623980737	6.41503749927884	5.97154355395077
A_23_P110266	6.87806504309548	6.8465581679463	6.63771164196761	6.48166150882337	6.61329472379675	7.51254234016965
A_23_P112874	7.0879268764882	6.86243194573116	6.59569227044933	6.78896144076383	6.90810814734614	7.38792918220709
A_33_P3403053	6.18322182405577	6.01680828768655	5.89481776330794	5.88060390408824	6.40372218605101	5.99057674611337
A_23_P105138	11.5004002473596	11.3875275096308	11.302272663058	11.5846707254301	11.406350131707	11.2645097170433
